_id,Uid,Техместо,Наименование,Диспетчерское наименование,Класс
65a2361a96b9132bd04d7afb,000fe64c-7b85-4bea-9ada-3e514d968485,PS110-000516,ПС 110 кВ Уропская,ПС 110 кВ Уропская,Substation
65a2361a96b9132bd04d7afc,011f18d7-614e-4945-8bf8-81964a8c6a9f,PS110-001024,ПС 110 кВ Потаскуй,ПС 110 кВ Потаскуй,Substation
65a2361a96b9132bd04d7afd,01628ca3-8af1-4d26-84c3-52ee6c0f1adc,PS110-000253,ПС 110 кВ Пригородная,ПС 110 кВ Пригородная,Substation
65a2361a96b9132bd04d7afe,018c4cfb-1f78-41e9-8e40-001a41114299,PS110-000519,ПС 110 кВ Городская,ПС 110 кВ Городская,Substation
65a2361a96b9132bd04d7aff,0193398d-8d84-40d9-8520-2f8ea56bf5e9,PS110-000294,ПС 110 кВ Коробейниково,ПС 110 кВ Коробейниково,Substation
65a2361a96b9132bd04d7b00,01d27eab-6a9e-41ba-9614-a782a63b430b,PS110-000268,ПС 110 кВ Опорная,ПС 110 кВ Опорная,Substation
65a2361a96b9132bd04d7b01,02697fc5-c1c1-4b96-a808-a905916b8feb,PS110-000008,ПС 110 кВ Гусиноозерская,ПС 110 кВ Гусиноозерская,Substation
65a2361a96b9132bd04d7b02,02b970fd-165b-4da9-9807-c8f21ee9b221,PS110-000387,ПС 110 кВ Затонская,ПС 110 кВ Затонская,Substation
65a2361a96b9132bd04d7b03,0355728d-e712-4133-97e2-0c3cbe4ef79c,PS110-001242,ПС 110 кВ Полярная,,Substation
65a2361a96b9132bd04d7b04,037bf15d-c151-4d3d-938a-076a5e1d25f2,PS110-000807,ПС 110 кВ Орловский ГОК,ПС 110 кВ Орловский ГОК,Substation
65a2361a96b9132bd04d7b05,03b031f4-9fbd-4516-ad0f-380a3a934245,PS110-000475,ПС 110 кВ Мариинский ЛПК,ПС 110 кВ Мариинский ЛПК,Substation
65a2361a96b9132bd04d7b06,03d16e9d-3aa1-40dc-aec2-9391348180b1,PS110-000066,ПС 110 кВ Южная,ПС 110 КВ ЮЖНАЯ,Substation
65a2361a96b9132bd04d7b07,03d968c2-0bee-4637-9af2-050b47cfbbc8,PS110-000502,ПС 110 кВ Яшкинская,ПС 110 кВ Яшкинская,Substation
65a2361a96b9132bd04d7b08,03edfbd4-4f4b-439c-976e-d4eacd466063,PS110-000422,ПС 110 кВ Казанцево,ПС 110 кВ Казанцево,Substation
65a2361a96b9132bd04d7b09,042cee94-ca0e-4cef-bdf7-4c95c7dfcf16,PS110-001325,ПС 110 кВ Слобода Весны,ПС 110 кВ Слобода Весны,Substation
65a2361a96b9132bd04d7b0a,046b45be-37ad-44c0-b580-305afe51ddc0,PS110-000087,ПС 110 кВ Кош-Агачская,ПС 110 кВ Кош-Агачская,Substation
65a2361a96b9132bd04d7b0b,04e92484-5339-41f0-8f4a-8ff8e8a75d39,PS110-000167,ПС 110 кВ Волчихинская,ПС 110 кВ Волчихинская,Substation
65a2361a96b9132bd04d7b0c,057f1852-23e9-42ef-a5bf-56396f56889d,PS110-000129,ПС 110 кВ Шира,ПС 110 кВ Шира,Substation
65a2361a96b9132bd04d7b0d,05828b29-bc6d-41e8-a2ea-948bb72a888f,PS110-000114,ПС 110 кВ Калининская,ПС 110 кВ Калининская,Substation
65a2361a96b9132bd04d7b0e,05952ee5-026b-4bc1-a24f-c9fccee9e92e,PS110-000149,ПС 110 кВ Лесная,ПС 110кВ Лесная,Substation
65a2361a96b9132bd04d7b0f,05F59626-36D8-4569-8A5B-1A4A1BE2D1B5,PS110-000768,ПС 110 кВ Вершина Дарасуна,ПС 110 кВ Вершина Дарасуна,Substation
65a2361a96b9132bd04d7b10,065a32e7-97f2-41a2-bd52-fce1ccfb6d41,PS110-000200,ПС 110 кВ Ключевская,ПС 110 кВ Ключевская,Substation
